week,game_id,away,home,home_ppg,away_ppg,home_yards_ppa,away_yards_ppa,home_ypg,away_ypg,home_tom,away_tom,home_oypg,away_oypg,home_rpf,away_rpr
4,58,Jacksonville,Philadelphia,28.8,26.3,9.1,7.1,435.5,336.5,2,0.8,277.3,330.3,166.92,152.98
4,59,NY Jets,Pittsburgh,18.5,19,6,6.1,278.8,364.5,0.3,-0.5,383,326.5,148.12,154.1
4,60,Arizona,Carolina,19.5,22,6.4,5.7,262.3,349.5,-0.5,1,346,342.8,138.26,154.46
4,61,Denver,Las Vegas,24,16.5,6.7,7.5,356.3,335.8,-0.5,0,357,284.8,160.76,142.42
4,62,New England,Green Bay,18.8,18.5,7.5,7.8,377.5,341.3,-0.8,-0.8,294.8,346.8,153.06,156.76
4,63,Kansas City,Tampa Bay,20.5,32.3,6.8,7.5,317,384.8,0.8,0,321,329.5,145.46,164.32
4,64,LA Rams,San Francisco,17.8,17.5,7.4,6.8,324.5,294,0.3,-0.5,234.5,341.5,130.22,144.1
5,65,Indianapolis,Denver,15,13.8,7.4,7.1,343.6,333,0,-1.2,289,312.6,144.32,145.84
5,66,NY Giants,Green Bay,19.4,20.6,7.1,6.4,362.2,333.2,-0.6,0.2,303.4,326,151.08,148.8
5,67,Atlanta,Tampa Bay,20.6,23.6,6.8,7.5,337.6,331.4,0.6,-0.2,309,393,147.16,164.56
5,68,Pittsburgh,Buffalo,30.4,15.4,8.1,6.1,440.4,295.8,0.4,0.2,260.4,416.8,162.52,157.84
5,69,Chicago,Minnesota,23,17.2,6.8,7.7,361,274,0.2,0,369.8,367.2,164.4,147.08
5,70,LA Chargers,Cleveland,26.6,24.4,6.6,7.4,396.4,390.4,0,0.4,353.8,368.2,168.56,171.48
5,71,Detroit,New England,20.6,28,8,7.3,345.8,411.8,-0.4,-0.4,339.8,428.6,157.16,188.2
5,72,Houston,Jacksonville,22.2,17.2,6.8,6.3,353.6,291.2,0.2,0.6,313.8,414.2,151.56,157.24
5,73,Miami,NY Jets,23.2,23,6.5,8,356,347.8,0,-0.4,320.2,386.8,152.88,167.44
5,74,Seattle,New Orleans,23,25.4,7.8,8.3,379,368,-1.6,0.2,341.8,430,164.04,181.32
5,75,Tennessee,Washington,18,19.2,6.6,7.5,341.6,278.2,-1.4,0.2,345.6,390.8,153.96,152.68
5,76,San Francisco,Carolina,18.6,21.6,6.4,7.6,271.4,339,-0.4,0.2,356.2,249.2,141.96,137.2
5,77,Philadelphia,Arizona,21,27,5.7,8.5,352.2,419.8,0.6,1.8,345.6,294.4,155.28,165.6
5,78,Dallas,LA Rams,16,18.6,6.9,6.6,299.8,298,-1,1,321,311.4,140.96,139
5,79,Cincinnati,Baltimore,27.6,21.6,7.2,7,352.4,335.6,1,0.2,398.2,327,170.24,150.88
5,80,Las Vegas,Kansas City,31.8,25,7.4,6.9,381.4,360.6,0,-0.4,339.2,359.2,165.28,162.68
6,81,Washington,Chicago,15.5,17,7.6,6.4,293.7,320.3,-0.3,-0.8,341.7,353.3,145.32,150.76
6,82,San Francisco,Atlanta,24.3,20.3,7.7,7.5,324.3,340.2,0.3,-0.3,385.2,255.8,162.22,138.2
